Brand Name,Grain Type,Price per Bag (Naira),City,Country,Customer Rating,Number of Reviews,Month Sold,Units Sold,Revenue,Is_Premium_Grain,Quarter Sold,Log_Units_Sold,Brand_City
Tommy Tasty,Basmati,12870.72,Kumasi,Ghana,2,137,December,969,12471727.68,1,Q4,6.877296071497429,Tommy Tasty_Kumasi
Royal Stallion,Long Grain,9771.94,Accra,Ghana,2,298,September,230,2247546.2,0,Q3,5.442417710521793,Royal Stallion_Accra
Caprice,Long Grain,15698.12,Lagos,Nigeria,2,200,April,509,7990343.08,0,Q2,6.234410725718371,Caprice_Lagos
Caprice,Basmati,12591.07,Kumasi,Ghana,3,257,April,364,4583149.4799999995,1,Q2,5.8998973535824915,Caprice_Kumasi
Sunshine,Basmati,15636.29,Kumasi,Ghana,2,219,August,351,5488337.79,1,Q3,5.863631175598097,Sunshine_Kumasi
Golden Harvest,Long Grain,15584.264000000001,Accra,Ghana,3,18,January,768,11968714.752,0,Q1,6.645090969505644,Golden Harvest_Accra
Sunshine,Long Grain,23776.28,Abuja,Nigeria,1,145,October,869,20661587.32,0,Q4,6.76849321164863,Sunshine_Abuja
Royal Stallion,Basmati,19870.3,Lagos,Nigeria,2,1,March,232,4609909.6,1,Q1,5.4510384535657,Royal Stallion_Lagos
Golden Harvest,Local,13942.97,Lagos,Nigeria,4,90,September,728,10150482.16,0,Q3,6.591673732008658,Golden Harvest_Lagos
Caprice,Basmati,14739.78,Lagos,Nigeria,3,61,March,641,9448198.98,1,Q1,6.464588303689961,Caprice_Lagos
King's Pride,Basmati,18802.21,Accra,Ghana,3,65,February,437,8216565.77,1,Q1,6.082218910376446,King's Pride_Accra
Sunshine,Long Grain,9667.98,Accra,Ghana,3,220,October,277,2678030.46,0,Q4,5.627621113690637,Sunshine_Accra
Caprice,Local,21812.24,Lagos,Nigeria,5,61,May,786,17144420.64,0,Q2,6.668228248417403,Caprice_Lagos
Caprice,Long Grain,9690.94,Accra,Ghana,4,283,December,284,2752226.96,0,Q4,5.652489180268651,Caprice_Accra
Uncle Sam,Local,12657.75,Lagos,Nigeria,4,144,June,68,860727.0,0,Q2,4.23410650459726,Uncle Sam_Lagos
Mama Gold,Basmati,13963.21,Kumasi,Ghana,3,151,July,966,13488460.86,1,Q3,6.874198495453294,Mama Gold_Kumasi
Tommy Tasty,Basmati,9939.03,Abuja,Nigeria,3,240,March,104,1033659.1200000001,1,Q1,4.653960350157523,Tommy Tasty_Abuja
Caprice,Long Grain,14593.37,Lagos,Nigeria,3,104,October,425,6202182.25,0,Q4,6.054439346269371,Caprice_Lagos
Caprice,Long Grain,24711.0,Abuja,Nigeria,4,211,May,55,1359105.0,0,Q2,4.02535169073515,Caprice_Abuja
King's Pride,Local,20610.3,Lagos,Nigeria,5,184,November,977,20136263.099999998,0,Q4,6.885509670034818,King's Pride_Lagos
Golden Harvest,Local,16324.31,Abuja,Nigeria,3,271,June,982,16030472.42,0,Q2,6.890609120147166,Golden Harvest_Abuja
Caprice,Long Grain,15748.5,Abuja,Nigeria,2,51,May,249,3921376.5,0,Q2,5.521460917862246,Caprice_Abuja
Golden Harvest,Long Grain,23426.18,Lagos,Nigeria,3,87,October,969,22699968.42,0,Q4,6.877296071497429,Golden Harvest_Lagos
Uncle Sam,Basmati,16415.68727272727,Accra,Ghana,2,291,August,816,13395200.814545453,1,Q3,6.705639094860003,Uncle Sam_Accra
Golden Harvest,Basmati,21483.83,Kumasi,Ghana,4,81,February,880,18905770.400000002,1,Q1,6.78105762593618,Golden Harvest_Kumasi
Sunshine,Long Grain,21536.62,Lagos,Nigeria,2,59,November,832,17918467.84,0,Q4,6.725033642166843,Sunshine_Lagos
Sunshine,Basmati,8245.9,Abuja,Nigeria,5,182,March,159,1311098.0999999999,1,Q1,5.075173815233827,Sunshine_Abuja
Sunshine,Basmati,10757.87,Abuja,Nigeria,1,49,February,294,3162813.7800000003,1,Q1,5.68697535633982,Sunshine_Abuja
King's Pride,Basmati,21654.04,Kumasi,Ghana,3,113,July,676,14638131.040000001,1,Q3,6.517671272912275,King's Pride_Kumasi
Sunshine,Local,12514.2,Lagos,Nigeria,3,222,August,717,8972681.4,0,Q3,6.576469569048224,Sunshine_Lagos
Royal Stallion,Local,8992.19,Accra,Ghana,4,248,July,52,467593.88,0,Q3,3.970291913552122,Royal Stallion_Accra
Caprice,Local,14685.58,Kumasi,Ghana,4,259,January,963,14142213.54,0,Q1,6.871091294610546,Caprice_Kumasi
Royal Stallion,Local,13487.78,Accra,Ghana,2,177,January,499,6730402.220000001,0,Q1,6.214608098422191,Royal Stallion_Accra
Caprice,Local,23070.6,Accra,Ghana,1,137,December,686,15826431.6,0,Q4,6.532334292222349,Caprice_Accra
Sunshine,Basmati,21049.6,Kumasi,Ghana,2,20,January,613,12903404.799999999,1,Q1,6.419994928147142,Sunshine_Kumasi
Royal Stallion,Local,10025.22,Accra,Ghana,2,185,November,186,1864690.92,0,Q4,5.231108616854587,Royal Stallion_Accra
Caprice,Long Grain,10694.89,Kumasi,Ghana,4,36,September,644,6887509.159999999,0,Q3,6.4692503167957724,Caprice_Kumasi
Uncle Sam,Long Grain,16190.267368421053,Accra,Ghana,1,194,February,769,12450315.60631579,0,Q1,6.646390514847729,Uncle Sam_Accra
Caprice,Long Grain,17450.25,Lagos,Nigeria,1,67,October,828,14448807.0,0,Q4,6.720220155135295,Caprice_Lagos
Golden Harvest,Long Grain,10843.43,Lagos,Nigeria,1,125,March,161,1745792.23,0,Q1,5.087596335232384,Golden Harvest_Lagos
Sunshine,Local,22447.87,Abuja,Nigeria,5,56,December,277,6218059.989999999,0,Q4,5.627621113690637,Sunshine_Abuja
Caprice,Long Grain,8511.38,Accra,Ghana,4,254,August,404,3438597.5199999996,0,Q3,6.003887067106539,Caprice_Accra
Golden Harvest,Basmati,10748.49,Accra,Ghana,5,285,August,455,4890562.95,1,Q3,6.1224928095143865,Golden Harvest_Accra
King's Pride,Basmati,13084.34,Abuja,Nigeria,4,40,April,660,8635664.4,1,Q2,6.493753839851687,King's Pride_Abuja
Uncle Sam,Long Grain,9411.86,Lagos,Nigeria,5,230,May,119,1120011.34,0,Q2,4.787491742782046,Uncle Sam_Lagos
Sunshine,Local,24421.01,Abuja,Nigeria,2,44,January,133,3247994.3299999996,0,Q1,4.897839799950911,Sunshine_Abuja
Uncle Sam,Local,20512.43,Accra,Ghana,5,42,September,305,6256291.15,0,Q3,5.723585101952381,Uncle Sam_Accra
Royal Stallion,Local,14131.05,Abuja,Nigeria,2,272,July,703,9934128.15,0,Q3,6.556778356158042,Royal Stallion_Abuja
Golden Harvest,Long Grain,14935.1,Abuja,Nigeria,5,238,December,931,13904578.1,0,Q4,6.837332814685591,Golden Harvest_Abuja
Mama Gold,Local,18551.82,Accra,Ghana,3,208,December,590,10945573.8,0,Q4,6.3818160174060985,Mama Gold_Accra
Royal Stallion,Long Grain,18897.92,Lagos,Nigeria,2,240,May,329,6217415.68,0,Q2,5.799092654460526,Royal Stallion_Lagos
Uncle Sam,Basmati,13953.34,Abuja,Nigeria,3,51,August,658,9181297.72,1,Q3,6.490723534502507,Uncle Sam_Abuja
Golden Harvest,Basmati,24717.48,Kumasi,Ghana,5,127,December,107,2644770.36,1,Q4,4.68213122712422,Golden Harvest_Kumasi
Mama Gold,Basmati,13000.42,Abuja,Nigeria,4,177,February,387,5031162.54,1,Q1,5.961005339623274,Mama Gold_Abuja
King's Pride,Local,16095.53,Accra,Ghana,1,89,March,656,10558667.68,0,Q1,6.487684018484611,King's Pride_Accra
Caprice,Long Grain,13981.06,Kumasi,Ghana,2,24,August,813,11366601.78,0,Q3,6.70196036600254,Caprice_Kumasi
Mama Gold,Local,16052.5,Lagos,Nigeria,2,216,July,667,10707017.5,0,Q3,6.504288173536645,Mama Gold_Lagos
Uncle Sam,Long Grain,11192.63,Abuja,Nigeria,2,42,February,352,3939805.76,0,Q1,5.8664680569332965,Uncle Sam_Abuja
Royal Stallion,Basmati,15240.5,Kumasi,Ghana,1,100,February,596,9083338.0,1,Q1,6.391917113392602,Royal Stallion_Kumasi
Royal Stallion,Basmati,16456.76,Abuja,Nigeria,2,291,October,498,8195466.4799999995,1,Q4,6.212606095751519,Royal Stallion_Abuja
Uncle Sam,Basmati,13481.03,Kumasi,Ghana,2,213,December,897,12092483.91,1,Q4,6.8001700683022,Uncle Sam_Kumasi
Royal Stallion,Basmati,18427.1,Accra,Ghana,5,86,October,659,12143458.899999999,1,Q4,6.492239835020471,Royal Stallion_Accra
Royal Stallion,Long Grain,20744.02,Lagos,Nigeria,5,276,June,744,15433550.88,0,Q2,6.61338421837956,Royal Stallion_Lagos
Golden Harvest,Basmati,16110.96,Abuja,Nigeria,3,182,April,633,10198237.68,1,Q2,6.452048954437226,Golden Harvest_Abuja
Sunshine,Basmati,23331.08,Kumasi,Ghana,5,133,April,514,11992175.120000001,1,Q2,6.244166900663736,Sunshine_Kumasi
Caprice,Basmati,20348.53,Lagos,Nigeria,2,264,February,824,16767188.719999999,1,Q1,6.715383386334681,Caprice_Lagos
Sunshine,Long Grain,22844.17,Accra,Ghana,3,185,January,553,12632826.01,0,Q1,6.317164686747284,Sunshine_Accra
King's Pride,Long Grain,10401.85,Abuja,Nigeria,3,127,March,287,2985330.95,0,Q1,5.662960480135946,King's Pride_Abuja
Uncle Sam,Local,15525.36,Kumasi,Ghana,2,218,January,376,5837535.36,0,Q1,5.932245187448011,Uncle Sam_Kumasi
Uncle Sam,Long Grain,9003.35,Kumasi,Ghana,3,55,November,333,2998115.5500000003,0,Q4,5.8111409929767,Uncle Sam_Kumasi
Royal Stallion,Long Grain,17043.05,Abuja,Nigeria,3,221,March,567,9663409.35,0,Q1,6.342121418721152,Royal Stallion_Abuja
Uncle Sam,Local,17003.14,Kumasi,Ghana,5,87,February,824,14010587.36,0,Q1,6.715383386334681,Uncle Sam_Kumasi
Mama Gold,Basmati,24806.7,Lagos,Nigeria,5,142,August,481,11932022.700000001,1,Q3,6.1779441140506,Mama Gold_Lagos
Tommy Tasty,Local,17001.08,Kumasi,Ghana,5,96,December,575,9775621.000000002,0,Q4,6.3561076606958915,Tommy Tasty_Kumasi
Uncle Sam,Long Grain,16612.62,Lagos,Nigeria,4,262,April,936,15549412.319999998,0,Q2,6.842683282238422,Uncle Sam_Lagos
Golden Harvest,Basmati,24925.14,Kumasi,Ghana,3,3,February,570,14207329.799999999,1,Q1,6.3473892096560105,Golden Harvest_Kumasi
Tommy Tasty,Basmati,23351.01,Abuja,Nigeria,4,84,November,614,14337520.139999999,1,Q4,6.421622267806518,Tommy Tasty_Abuja
Tommy Tasty,Basmati,12696.67,Kumasi,Ghana,4,96,September,924,11731723.08,1,Q3,6.829793737512425,Tommy Tasty_Kumasi
Uncle Sam,Long Grain,16190.267368421053,Accra,Ghana,5,284,February,966,15639798.277894737,0,Q1,6.874198495453294,Uncle Sam_Accra
Caprice,Long Grain,16401.32,Kumasi,Ghana,1,230,December,754,12366595.28,0,Q4,6.626717749249025,Caprice_Kumasi
Sunshine,Basmati,10223.09,Kumasi,Ghana,1,257,February,649,6634785.41,1,Q1,6.476972362889683,Sunshine_Kumasi
Uncle Sam,Basmati,20852.4,Lagos,Nigeria,2,27,May,644,13428945.600000001,1,Q2,6.4692503167957724,Uncle Sam_Lagos
Tommy Tasty,Basmati,11089.34,Abuja,Nigeria,2,193,April,858,9514653.72,1,Q2,6.755768921984256,Tommy Tasty_Abuja
Golden Harvest,Local,22170.87,Abuja,Nigeria,3,174,February,703,15586121.61,0,Q1,6.556778356158042,Golden Harvest_Abuja
Caprice,Local,15620.16,Kumasi,Ghana,1,59,February,307,4795389.12,0,Q1,5.730099782973575,Caprice_Kumasi
Sunshine,Local,14979.21,Kumasi,Ghana,1,242,April,480,7190020.8,0,Q2,6.175867270105761,Sunshine_Kumasi
Royal Stallion,Basmati,14207.81,Kumasi,Ghana,3,20,August,388,5512630.28,1,Q3,5.963579343618446,Royal Stallion_Kumasi
Caprice,Basmati,24302.71,Kumasi,Ghana,4,109,October,116,2819114.36,1,Q4,4.762173934797756,Caprice_Kumasi
Sunshine,Basmati,10590.6,Kumasi,Ghana,2,207,November,602,6375541.2,1,Q4,6.401917196727186,Sunshine_Kumasi
Sunshine,Long Grain,22971.81,Kumasi,Ghana,4,95,March,737,16930223.970000003,0,Q1,6.6039438246004725,Sunshine_Kumasi
Caprice,Basmati,23229.94,Abuja,Nigeria,3,66,April,132,3066352.0799999996,1,Q2,4.890349128221754,Caprice_Abuja
Mama Gold,Local,14740.18,Accra,Ghana,1,271,May,672,9905400.96,0,Q2,6.511745329644728,Mama Gold_Accra
Sunshine,Long Grain,19663.81,Accra,Ghana,4,177,September,475,9340309.75,0,Q3,6.16541785423142,Sunshine_Accra
Royal Stallion,Long Grain,19267.34,Accra,Ghana,3,7,December,101,1946001.34,0,Q4,4.624972813284271,Royal Stallion_Accra
Sunshine,Long Grain,9425.22,Kumasi,Ghana,3,245,March,339,3195149.5799999996,0,Q1,5.8289456176102075,Sunshine_Kumasi
King's Pride,Long Grain,8341.06,Kumasi,Ghana,2,126,October,570,4754404.199999999,0,Q4,6.3473892096560105,King's Pride_Kumasi
Mama Gold,Long Grain,10685.4,Kumasi,Ghana,5,243,November,534,5706003.6,0,Q4,6.282266746896006,Mama Gold_Kumasi
Mama Gold,Long Grain,24182.47,Abuja,Nigeria,3,28,June,816,19732895.52,0,Q2,6.705639094860003,Mama Gold_Abuja
Mama Gold,Long Grain,17105.83,Abuja,Nigeria,1,186,September,629,10759567.07,0,Q3,6.4457198193855785,Mama Gold_Abuja
Tommy Tasty,Local,24732.76,Lagos,Nigeria,2,94,December,927,22927268.52,0,Q4,6.833031732786201,Tommy Tasty_Lagos
Uncle Sam,Long Grain,16190.267368421053,Accra,Ghana,2,225,October,288,4662797.002105263,0,Q4,5.666426688112432,Uncle Sam_Accra
Caprice,Local,14598.09,Abuja,Nigeria,5,11,December,800,11678472.0,0,Q4,6.68586094706836,Caprice_Abuja
Royal Stallion,Local,12012.55,Kumasi,Ghana,2,205,April,894,10739219.7,0,Q2,6.796823718274855,Royal Stallion_Kumasi
Royal Stallion,Long Grain,16770.98,Kumasi,Ghana,3,6,February,442,7412773.16,0,Q1,6.093569770045136,Royal Stallion_Kumasi
Mama Gold,Basmati,23638.85,Accra,Ghana,4,58,November,466,11015704.1,1,Q4,6.1463292576688975,Mama Gold_Accra
Mama Gold,Long Grain,23243.1,Abuja,Nigeria,2,256,April,95,2208094.5,0,Q2,4.564348191467836,Mama Gold_Abuja
Royal Stallion,Local,8331.95,Lagos,Nigeria,1,157,May,162,1349775.9000000001,0,Q2,5.093750200806762,Royal Stallion_Lagos
King's Pride,Basmati,17489.02,Kumasi,Ghana,1,262,July,496,8674553.92,1,Q3,6.208590026096629,King's Pride_Kumasi
Mama Gold,Basmati,11178.91,Accra,Ghana,5,43,November,803,8976664.73,1,Q4,6.6895992691789665,Mama Gold_Accra
Royal Stallion,Local,9978.56,Abuja,Nigeria,4,99,June,697,6955056.319999999,0,Q2,6.548219102762372,Royal Stallion_Abuja
Mama Gold,Long Grain,23834.24,Accra,Ghana,5,46,October,440,10487065.600000001,0,Q4,6.089044875446846,Mama Gold_Accra
Tommy Tasty,Local,8645.0,Kumasi,Ghana,1,115,January,984,8506680.0,0,Q1,6.892641641172089,Tommy Tasty_Kumasi
Golden Harvest,Long Grain,14203.46,Abuja,Nigeria,5,289,April,985,13990408.1,0,Q2,6.893656354602635,Golden Harvest_Abuja
Golden Harvest,Local,14411.54,Lagos,Nigeria,4,294,December,407,5865496.78,0,Q4,6.0112671744041615,Golden Harvest_Lagos
Tommy Tasty,Basmati,22284.81,Abuja,Nigeria,4,201,December,325,7242563.25,1,Q4,5.786897381366708,Tommy Tasty_Abuja
Sunshine,Basmati,23193.11,Abuja,Nigeria,3,88,May,321,7444988.3100000005,1,Q2,5.7745515455444085,Sunshine_Abuja
Golden Harvest,Basmati,12558.39,Lagos,Nigeria,4,38,April,181,2273068.59,1,Q2,5.204006687076795,Golden Harvest_Lagos
Uncle Sam,Local,16050.87,Lagos,Nigeria,2,110,November,715,11476372.05,0,Q4,6.573680166960646,Uncle Sam_Lagos
King's Pride,Local,8780.3,Abuja,Nigeria,5,295,February,300,2634090.0,0,Q1,5.707110264748875,King's Pride_Abuja
Caprice,Basmati,13560.51,Lagos,Nigeria,5,86,October,280,3796942.8000000003,1,Q4,5.638354669333745,Caprice_Lagos
Mama Gold,Basmati,23223.74,Accra,Ghana,1,205,November,67,1555990.58,1,Q4,4.219507705176107,Mama Gold_Accra
King's Pride,Long Grain,12677.27,Accra,Ghana,3,131,April,982,12449079.14,0,Q2,6.890609120147166,King's Pride_Accra
Mama Gold,Long Grain,23161.84,Lagos,Nigeria,2,284,October,461,10677608.24,0,Q4,6.135564891081739,Mama Gold_Lagos
King's Pride,Long Grain,9655.14,Lagos,Nigeria,3,37,November,336,3244127.04,0,Q4,5.820082930352362,King's Pride_Lagos
Caprice,Long Grain,18366.8,Accra,Ghana,2,131,November,68,1248942.4,0,Q4,4.23410650459726,Caprice_Accra
Uncle Sam,Local,8500.88,Lagos,Nigeria,5,148,May,365,3102821.1999999997,0,Q2,5.902633333401366,Uncle Sam_Lagos
Golden Harvest,Long Grain,12550.61,Kumasi,Ghana,3,168,December,968,12148990.48,0,Q4,6.876264611890766,Golden Harvest_Kumasi
Uncle Sam,Basmati,18813.18,Lagos,Nigeria,2,173,March,659,12397885.620000001,1,Q1,6.492239835020471,Uncle Sam_Lagos
Golden Harvest,Basmati,21040.75,Abuja,Nigeria,1,101,April,543,11425127.25,1,Q2,6.298949246855942,Golden Harvest_Abuja
Uncle Sam,Long Grain,21018.54,Abuja,Nigeria,2,246,October,403,8470471.620000001,0,Q4,6.0014148779611505,Uncle Sam_Abuja
Tommy Tasty,Long Grain,14773.25,Abuja,Nigeria,1,120,November,752,11109484.0,0,Q4,6.6240652277998935,Tommy Tasty_Abuja
Caprice,Basmati,10120.67,Accra,Ghana,3,137,August,536,5424679.12,1,Q3,6.285998094508865,Caprice_Accra
Caprice,Basmati,9209.15,Lagos,Nigeria,3,74,April,942,8675019.299999999,1,Q2,6.849066282633458,Caprice_Lagos
Caprice,Long Grain,23576.12,Lagos,Nigeria,1,247,May,348,8204489.76,0,Q2,5.855071922202427,Caprice_Lagos
Royal Stallion,Long Grain,19850.88,Accra,Ghana,4,203,November,427,8476325.76,0,Q4,6.059123195581797,Royal Stallion_Accra
Sunshine,Local,10324.55,Lagos,Nigeria,5,100,August,809,8352560.949999999,0,Q3,6.697034247666484,Sunshine_Lagos
Golden Harvest,Long Grain,17104.45,Kumasi,Ghana,5,274,June,713,12195472.85,0,Q2,6.570882962339584,Golden Harvest_Kumasi
Caprice,Basmati,16900.06153846154,Accra,Ghana,1,269,July,405,6844524.923076924,1,Q3,6.0063531596017325,Caprice_Accra
Uncle Sam,Long Grain,22715.83,Lagos,Nigeria,5,88,February,765,17377609.950000003,0,Q1,6.641182169740591,Uncle Sam_Lagos
Royal Stallion,Basmati,23423.11,Lagos,Nigeria,5,157,April,99,2318887.89,1,Q2,4.605170185988092,Royal Stallion_Lagos
Mama Gold,Local,24610.69,Lagos,Nigeria,4,121,December,878,21608185.82,0,Q4,6.778784897685177,Mama Gold_Lagos
Golden Harvest,Basmati,19376.69,Abuja,Nigeria,1,222,October,413,8002572.97,1,Q4,6.025865973825314,Golden Harvest_Abuja
Sunshine,Local,8056.47,Kumasi,Ghana,4,30,August,359,2892272.73,0,Q3,5.886104031450156,Sunshine_Kumasi
Uncle Sam,Long Grain,23442.86,Kumasi,Ghana,5,185,September,91,2133300.2600000002,0,Q3,4.5217885770490405,Uncle Sam_Kumasi
Sunshine,Local,10004.43,Kumasi,Ghana,3,278,May,372,3721647.96,0,Q2,5.921578419643816,Sunshine_Kumasi
Mama Gold,Basmati,20823.56,Accra,Ghana,2,137,October,902,18782851.12,1,Q4,6.805722553416985,Mama Gold_Accra
Sunshine,Basmati,10025.76,Kumasi,Ghana,4,274,February,568,5694631.68,1,Q1,6.343880434126331,Sunshine_Kumasi
Tommy Tasty,Local,16223.01,Lagos,Nigeria,2,73,July,640,10382726.4,0,Q3,6.46302945692067,Tommy Tasty_Lagos
Royal Stallion,Basmati,12712.86,Lagos,Nigeria,2,102,March,648,8237933.28,1,Q1,6.47543271670409,Royal Stallion_Lagos
Sunshine,Local,21234.26,Abuja,Nigeria,1,118,August,55,1167884.2999999998,0,Q3,4.02535169073515,Sunshine_Abuja
Golden Harvest,Local,23247.64,Kumasi,Ghana,4,72,July,974,22643201.36,0,Q3,6.882437470997847,Golden Harvest_Kumasi
Caprice,Local,13015.13,Kumasi,Ghana,4,167,July,268,3488054.84,0,Q3,5.594711379601839,Caprice_Kumasi
Tommy Tasty,Long Grain,17916.51,Kumasi,Ghana,1,167,December,742,13294050.419999998,0,Q4,6.610696044717759,Tommy Tasty_Kumasi
Mama Gold,Local,20352.43,Abuja,Nigeria,1,262,October,299,6085376.57,0,Q4,5.703782474656201,Mama Gold_Abuja
Uncle Sam,Basmati,11132.76,Kumasi,Ghana,4,162,August,261,2905650.36,1,Q3,5.568344503761097,Uncle Sam_Kumasi
King's Pride,Long Grain,15355.41,Kumasi,Ghana,2,0,February,387,5942543.67,0,Q1,5.961005339623274,King's Pride_Kumasi
Caprice,Basmati,15896.45,Kumasi,Ghana,3,274,February,843,13400707.350000001,1,Q1,6.738152494595957,Caprice_Kumasi
Royal Stallion,Long Grain,10931.76,Accra,Ghana,1,297,October,308,3366982.08,0,Q4,5.733341276897746,Royal Stallion_Accra
Tommy Tasty,Local,22431.63,Kumasi,Ghana,2,142,February,740,16599406.200000001,0,Q1,6.608000625296087,Tommy Tasty_Kumasi
Mama Gold,Long Grain,15061.742999999999,Accra,Ghana,3,82,March,806,12139764.858,0,Q1,6.693323668269949,Mama Gold_Accra
King's Pride,Local,23026.54,Lagos,Nigeria,2,89,August,612,14092242.48,0,Q3,6.418364935936212,King's Pride_Lagos
Caprice,Local,21447.67,Kumasi,Ghana,4,169,February,765,16407467.549999999,0,Q1,6.641182169740591,Caprice_Kumasi
Golden Harvest,Local,21259.24,Accra,Ghana,1,40,May,921,19579760.040000003,0,Q2,6.826545223556594,Golden Harvest_Accra
Caprice,Long Grain,12080.8,Abuja,Nigeria,2,226,February,976,11790860.799999999,0,Q1,6.884486652042782,Caprice_Abuja
Tommy Tasty,Basmati,10731.45,Abuja,Nigeria,2,86,September,325,3487721.2500000005,1,Q3,5.786897381366708,Tommy Tasty_Abuja
Caprice,Long Grain,13277.07,Accra,Ghana,1,117,September,943,12520277.01,0,Q3,6.8501261661455,Caprice_Accra
Royal Stallion,Basmati,24346.85,Abuja,Nigeria,2,212,March,263,6403221.55,1,Q1,5.575949103146316,Royal Stallion_Abuja
Uncle Sam,Basmati,16415.68727272727,Accra,Ghana,4,124,October,113,1854972.6618181816,1,Q4,4.736198448394496,Uncle Sam_Accra
Mama Gold,Long Grain,11763.68,Kumasi,Ghana,3,220,November,66,776402.88,0,Q4,4.204692619390966,Mama Gold_Kumasi
Mama Gold,Basmati,14075.66,Lagos,Nigeria,1,285,January,71,999371.86,1,Q1,4.276666119016055,Mama Gold_Lagos
Mama Gold,Local,21910.59,Lagos,Nigeria,5,223,June,550,12050824.5,0,Q2,6.311734809152915,Mama Gold_Lagos
Tommy Tasty,Basmati,21060.26,Kumasi,Ghana,3,118,May,296,6233836.96,1,Q2,5.6937321388027,Tommy Tasty_Kumasi
Mama Gold,Long Grain,15061.742999999999,Accra,Ghana,2,63,March,944,14218285.391999999,0,Q1,6.851184927493743,Mama Gold_Accra
King's Pride,Local,22001.03,Kumasi,Ghana,4,137,October,840,18480865.2,0,Q4,6.734591659972948,King's Pride_Kumasi
Golden Harvest,Basmati,23322.85,Lagos,Nigeria,3,89,October,781,18215145.849999998,1,Q4,6.661854740545311,Golden Harvest_Lagos
Tommy Tasty,Long Grain,15952.22,Accra,Ghana,4,37,August,832,13272247.04,0,Q3,6.725033642166843,Tommy Tasty_Accra
Uncle Sam,Local,20206.89,Abuja,Nigeria,1,277,January,405,8183790.45,0,Q1,6.0063531596017325,Uncle Sam_Abuja
Golden Harvest,Local,13624.53,Kumasi,Ghana,1,277,February,968,13188545.040000001,0,Q1,6.876264611890766,Golden Harvest_Kumasi
Tommy Tasty,Long Grain,16824.057647058824,Accra,Ghana,5,229,May,703,11827312.525882354,0,Q2,6.556778356158042,Tommy Tasty_Accra
Golden Harvest,Long Grain,8802.76,Lagos,Nigeria,1,214,April,362,3186599.12,0,Q2,5.8944028342648505,Golden Harvest_Lagos
Mama Gold,Long Grain,13891.34,Abuja,Nigeria,4,207,May,370,5139795.8,0,Q2,5.916202062607435,Mama Gold_Abuja
Mama Gold,Long Grain,12424.73,Kumasi,Ghana,1,287,July,761,9455219.53,0,Q3,6.635946555686647,Mama Gold_Kumasi
Tommy Tasty,Long Grain,14064.19,Abuja,Nigeria,1,34,July,316,4444284.04,0,Q3,5.75890177387728,Tommy Tasty_Abuja
